,Driver,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,weather_AirTemp,weather_Humidity,weather_Pressure,weather_Rainfall,weather_TrackTemp,weather_WindDirection,weather_WindSpeed,Circuit,LapTime_scaled,Sector1Time_scaled,Sector2Time_scaled,Sector3Time_scaled
0,15,1.0,1.0,232.0,231.0,278.0,252.0,0,3,4.0,False,7,12,1.0,27.3,22.0,1016.7,0,31.2,190.0,0.6,4,0.1123763926797623,0.0,0.09920886075949342,0.04242790276309805
1,15,2.0,1.0,227.0,238.0,278.0,288.0,1,3,5.0,False,7,12,1.0,27.3,22.0,1016.9,0,31.1,197.0,0.6,4,0.08899727057139062,0.4308297135316434,0.1039556962025312,0.06401932658915888
3,15,4.0,1.0,228.0,238.0,278.0,289.0,0,3,7.0,False,7,1,1.0,27.2,22.0,1016.9,0,31.1,236.0,0.8,4,0.08904201530269829,0.4298537416836201,0.11123417721518969,0.05911218481050873
5,15,6.0,1.0,229.0,239.0,279.0,291.0,0,3,9.0,False,7,1,1.0,27.1,22.0,1016.9,0,31.0,175.0,0.6,4,0.08926573895923795,0.4308159674492769,0.11070675105485206,0.05533746036539333
6,15,7.0,1.0,230.0,239.0,279.0,293.0,0,3,10.0,False,7,1,1.0,27.1,21.0,1016.9,0,30.9,197.0,0.6,4,0.09004877175712567,0.4301149172485841,0.11761603375527407,0.0519402083647893
11,15,12.0,1.0,231.0,241.0,278.0,294.0,0,3,15.0,False,7,1,1.0,27.1,21.0,1016.9,0,30.6,178.0,1.2,4,0.10280102017987369,0.43173695496783415,0.12753164556962027,0.07187075343499916
12,15,13.0,1.0,230.0,241.0,278.0,292.0,0,3,16.0,False,7,1,1.0,27.1,21.0,1016.9,0,30.5,152.0,0.8,4,0.10036243232359388,0.43147577940287013,0.12521097046413443,0.0683980069454928
14,15,15.0,2.0,230.0,237.0,279.0,218.0,0,3,1.0,False,7,1,2.0,27.1,21.0,1016.9,0,30.5,187.0,0.6,4,0.5454830193744686,0.7127893550338152,0.1105485232067509,0.046429110674920615
15,15,16.0,2.0,231.0,236.0,280.0,287.0,1,3,2.0,False,7,1,2.0,27.0,21.0,1017.0,0,30.4,178.0,0.8,4,0.08512685131325792,0.4290014845768955,0.11487341772151849,0.0453721878302884
16,15,17.0,2.0,232.0,237.0,280.0,293.0,1,3,3.0,False,7,1,2.0,27.0,21.0,1017.0,0,30.3,208.0,0.6,4,0.08170387936820456,0.42846538736460105,0.11023206751054815,0.04340933111882839
